latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.9606,77.6249,321.8,1,1,10/1/2023,511,Terra,MODIS,66,61.03,302.3,10.7,D,0
28.7398,80.161,314.5,1.3,1.1,10/1/2023,511,Terra,MODIS,44,61.03,298.3,8.9,D,0
29.0268,79.4296,317.4,1.2,1.1,10/1/2023,511,Terra,MODIS,32,61.03,299.1,9.7,D,0
24.7977,80.1834,310.1,1.5,1.2,10/1/2023,512,Terra,MODIS,25,61.03,288.1,8.6,D,0
20.3763,78.0823,311.7,1.3,1.1,10/1/2023,513,Terra,MODIS,50,61.03,292.8,7.3,D,0
20.6863,79.8372,311.8,1.7,1.3,10/1/2023,513,Terra,MODIS,45,61.03,289,13.6,D,0
21.8392,72.8584,322.4,1.1,1.1,10/1/2023,513,Terra,MODIS,70,61.03,300.6,8.5,D,0
22.7568,77.6533,315.9,1.1,1.1,10/1/2023,513,Terra,MODIS,56,61.03,301.3,9.3,D,0
22.7615,77.6606,318.7,1.1,1.1,10/1/2023,513,Terra,MODIS,63,61.03,302,9.9,D,0
19.8195,75.2311,316.9,1,1,10/1/2023,514,Terra,MODIS,48,61.03,297.4,6.5,D,0
12.9968,80.0102,315,2.4,1.5,10/1/2023,515,Terra,MODIS,52,61.03,294.2,22.5,D,2
27.7406,96.3031,315,1.6,1.3,10/1/2023,650,Aqua,MODIS,40,61.03,291.9,13.1,D,0
27.9321,96.6572,311.8,1.6,1.2,10/1/2023,650,Aqua,MODIS,47,61.03,286.7,16.9,D,0
18.5539,79.7221,313.4,1,1,10/1/2023,826,Aqua,MODIS,44,61.03,285.4,6.6,D,0
25.2282,76.4367,327.5,1,1,10/1/2023,828,Aqua,MODIS,75,61.03,313.2,10.1,D,0
25.5091,74.5807,320.5,1.2,1.1,10/1/2023,828,Aqua,MODIS,53,61.03,306,7.6,D,0
27.9504,77.5796,320.9,1,1,10/1/2023,829,Aqua,MODIS,56,61.03,303.2,8.3,D,0
27.9734,77.6791,321.6,1,1,10/1/2023,829,Aqua,MODIS,60,61.03,304,8.7,D,0
27.9781,77.6472,321.9,1,1,10/1/2023,829,Aqua,MODIS,61,61.03,303.3,10.1,D,0
28.7341,80.1607,316.3,1.3,1.1,10/1/2023,829,Aqua,MODIS,45,61.03,300.3,10.2,D,0
28.8483,79.8554,318.7,1.2,1.1,10/1/2023,829,Aqua,MODIS,68,61.03,298.5,11.1,D,0
29.472,76.9983,318.1,1,1,10/1/2023,829,Aqua,MODIS,62,61.03,304.2,6,D,0
29.9504,76.9873,321,1,1,10/1/2023,829,Aqua,MODIS,72,61.03,303.3,10.1,D,0
29.9546,74.6064,326.5,1.1,1,10/1/2023,829,Aqua,MODIS,76,61.03,303.7,19.6,D,0
29.9603,73.5538,321.3,1.2,1.1,10/1/2023,829,Aqua,MODIS,67,61.03,306.4,7.8,D,0
29.9661,75.395,321,1,1,10/1/2023,829,Aqua,MODIS,39,61.03,306.3,10.4,D,0
30.019,77.2177,318.1,1,1,10/1/2023,829,Aqua,MODIS,67,61.03,301.7,6.8,D,0
30.0204,77.2281,319.2,1,1,10/1/2023,829,Aqua,MODIS,69,61.03,302.3,7.7,D,0
30.0449,77.0751,315.9,1,1,10/1/2023,829,Aqua,MODIS,62,61.03,301,5.7,D,0
30.188,76.7141,313.2,1,1,10/1/2023,829,Aqua,MODIS,56,61.03,300.1,4.7,D,0
30.3298,77.2061,315.5,1,1,10/1/2023,829,Aqua,MODIS,64,61.03,300.6,5.7,D,0
30.5408,73.8213,322.8,1.1,1.1,10/1/2023,830,Aqua,MODIS,73,61.03,305.4,13.8,D,0
30.6332,73.6987,324,1.1,1.1,10/1/2023,830,Aqua,MODIS,74,61.03,305.2,15.5,D,0
30.6648,73.893,314.2,1.1,1.1,10/1/2023,830,Aqua,MODIS,49,61.03,304,5.8,D,0
30.7378,76.3712,313.5,1,1,10/1/2023,830,Aqua,MODIS,62,61.03,300.4,6,D,0
30.8466,73.4274,316.6,1.2,1.1,10/1/2023,830,Aqua,MODIS,56,61.03,306.2,7,D,0
30.97,74.5388,325.3,1.1,1,10/1/2023,830,Aqua,MODIS,77,61.03,303.7,16.3,D,0
30.9723,76.1373,324.5,1,1,10/1/2023,830,Aqua,MODIS,78,61.03,301,15.3,D,0
30.9811,76.1356,331.5,1,1,10/1/2023,830,Aqua,MODIS,85,61.03,302.4,23.4,D,0
30.9851,74.2204,322.3,1.1,1,10/1/2023,830,Aqua,MODIS,72,61.03,306.7,12.9,D,0
31.0031,74.1643,314.5,1.1,1,10/1/2023,830,Aqua,MODIS,52,61.03,303.2,6.2,D,0
31.2415,75.153,322,1,1,10/1/2023,830,Aqua,MODIS,73,61.03,303.6,13.6,D,0
31.2674,75.142,318,1,1,10/1/2023,830,Aqua,MODIS,66,61.03,303,8.7,D,0
31.2779,75.1506,314,1,1,10/1/2023,830,Aqua,MODIS,20,61.03,302.7,5.4,D,0
31.3632,75.0396,318.6,1,1,10/1/2023,830,Aqua,MODIS,67,61.03,303.2,10.4,D,0
31.3648,75.0501,314.4,1,1,10/1/2023,830,Aqua,MODIS,56,61.03,302.3,6.3,D,0
31.3655,75.1148,317.4,1,1,10/1/2023,830,Aqua,MODIS,65,61.03,303.7,7.4,D,0
31.4116,75.116,316,1,1,10/1/2023,830,Aqua,MODIS,62,61.03,304.1,6.5,D,0
31.4132,75.1264,323.5,1,1,10/1/2023,830,Aqua,MODIS,75,61.03,304,14.3,D,0
31.4393,74.8765,313.8,1,1,10/1/2023,830,Aqua,MODIS,52,61.03,302.8,6.2,D,0
31.4523,74.841,320.5,1,1,10/1/2023,830,Aqua,MODIS,70,61.03,302.6,12.4,D,0
31.461,75.0783,338.6,1,1,10/1/2023,830,Aqua,MODIS,88,61.03,305,34.6,D,0
31.4626,75.0888,314.2,1,1,10/1/2023,830,Aqua,MODIS,56,61.03,303.6,5.2,D,0
31.4673,75.1202,316,1,1,10/1/2023,830,Aqua,MODIS,62,61.03,304.1,6.9,D,0
31.4743,75.2265,318.9,1,1,10/1/2023,830,Aqua,MODIS,37,61.03,303.2,9,D,0
31.4911,74.9744,315.2,1,1,10/1/2023,830,Aqua,MODIS,59,61.03,303.9,6.4,D,0
31.4936,75.2333,320,1,1,10/1/2023,830,Aqua,MODIS,70,61.03,302.8,10.2,D,0
31.4966,75.0708,322,1,1,10/1/2023,830,Aqua,MODIS,73,61.03,304.1,12,D,0
31.5055,75.0689,319.3,1,1,10/1/2023,830,Aqua,MODIS,69,61.03,304.1,8.8,D,0
31.5154,74.7662,312.8,1,1,10/1/2023,830,Aqua,MODIS,40,61.03,302.5,5.3,D,0
31.517,74.7768,327.8,1,1,10/1/2023,830,Aqua,MODIS,79,61.03,302.8,20.8,D,0
31.517,75.0166,316.9,1,1,10/1/2023,830,Aqua,MODIS,64,61.03,304.5,7.6,D,0
31.5241,75.1233,318.5,1,1,10/1/2023,830,Aqua,MODIS,17,61.03,303.5,7.4,D,0
31.5257,75.1338,319,1,1,10/1/2023,830,Aqua,MODIS,41,61.03,303.3,7.9,D,0
31.5276,75.2154,315,1,1,10/1/2023,830,Aqua,MODIS,56,61.03,302.4,5.9,D,0
31.5292,75.2258,318.5,1,1,10/1/2023,830,Aqua,MODIS,68,61.03,303.8,8.8,D,0
31.5396,75.0443,319.9,1,1,10/1/2023,830,Aqua,MODIS,70,61.03,305.6,8.9,D,0
31.5435,75.13,323.1,1,1,10/1/2023,830,Aqua,MODIS,48,61.03,305,11,D,0
31.5444,75.0758,316.3,1,1,10/1/2023,830,Aqua,MODIS,47,61.03,304.6,5.7,D,0
31.5447,74.8365,318.4,1,1,10/1/2023,830,Aqua,MODIS,65,61.03,305,9.1,D,0
31.5526,75.009,319.7,1,1,10/1/2023,830,Aqua,MODIS,69,61.03,304.5,9.3,D,0
31.5619,75.1909,313.7,1,1,10/1/2023,830,Aqua,MODIS,54,61.03,302.9,4.3,D,0
31.566,75.1577,328.3,1,1,10/1/2023,830,Aqua,MODIS,80,61.03,304.6,18.3,D,0
31.567,75.1035,318.9,1,1,10/1/2023,830,Aqua,MODIS,52,61.03,304.5,6.7,D,0
31.571,74.7706,317.4,1,1,10/1/2023,830,Aqua,MODIS,64,61.03,305,8.5,D,0
31.5784,75.0578,324.3,1,1,10/1/2023,830,Aqua,MODIS,65,61.03,305.5,11.6,D,0
31.58,75.0683,328.7,1,1,10/1/2023,830,Aqua,MODIS,57,61.03,306,15.8,D,0
31.5857,75.0454,318.8,1,1,10/1/2023,830,Aqua,MODIS,39,61.03,305.7,6.1,D,0
31.5873,75.0559,324.2,1,1,10/1/2023,830,Aqua,MODIS,65,61.03,306.2,11.3,D,0
31.5937,75.0979,332.3,1,1,10/1/2023,830,Aqua,MODIS,84,61.03,306.7,20.7,D,0
31.601,75.0855,322.9,1,1,10/1/2023,830,Aqua,MODIS,71,61.03,306.2,9.1,D,0
31.6157,75.001,324.3,1,1,10/1/2023,830,Aqua,MODIS,76,61.03,307.4,11.7,D,0
31.6205,75.0325,321.9,1,1,10/1/2023,830,Aqua,MODIS,73,61.03,306.6,9,D,0
31.6387,75.2123,313.1,1,1,10/1/2023,830,Aqua,MODIS,49,61.03,302.7,4.5,D,0
31.6601,75.2939,316.6,1,1,10/1/2023,830,Aqua,MODIS,64,61.03,303.2,8,D,0
31.6617,75.3043,342.8,1,1,10/1/2023,830,Aqua,MODIS,91,61.03,304.4,42.3,D,0
31.6752,75.1507,321.5,1,1,10/1/2023,830,Aqua,MODIS,71,61.03,304.1,10.2,D,0
31.6856,75.1593,321.3,1,1,10/1/2023,830,Aqua,MODIS,38,61.03,304.8,9.1,D,0
31.7034,75.1556,320,1,1,10/1/2023,830,Aqua,MODIS,62,61.03,304.8,9.2,D,0
31.705,75.1661,318.4,1,1,10/1/2023,830,Aqua,MODIS,47,61.03,303.7,7.6,D,0
31.7056,74.6802,327.9,1,1,10/1/2023,830,Aqua,MODIS,80,61.03,302.4,21.8,D,0
31.7072,74.6909,326.3,1,1,10/1/2023,830,Aqua,MODIS,78,61.03,301.6,19.9,D,0
31.7154,74.9842,335.3,1,1,10/1/2023,830,Aqua,MODIS,86,61.03,306.7,24.6,D,0
31.7187,74.7653,319.4,1,1,10/1/2023,830,Aqua,MODIS,68,61.03,302.9,11.2,D,0
31.7203,74.7759,317.6,1,1,10/1/2023,830,Aqua,MODIS,65,61.03,302.2,8.9,D,0
31.732,75.1539,319.4,1,1,10/1/2023,830,Aqua,MODIS,70,61.03,303,10.5,D,0
31.7336,75.1644,313,1,1,10/1/2023,830,Aqua,MODIS,53,61.03,302.2,5,D,0
31.7348,74.9909,321.6,1,1,10/1/2023,830,Aqua,MODIS,55,61.03,306,8.3,D,0
31.7357,74.9364,318.7,1,1,10/1/2023,830,Aqua,MODIS,68,61.03,306,6.8,D,0
31.7364,75.0014,324.9,1,1,10/1/2023,830,Aqua,MODIS,59,61.03,305.9,12,D,0
31.7428,75.0435,319.7,1,1,10/1/2023,830,Aqua,MODIS,66,61.03,304.3,8.6,D,0
31.7793,74.9215,315.9,1,1,10/1/2023,830,Aqua,MODIS,45,61.03,303.9,6,D,0
31.7831,75.0674,315.4,1,1,10/1/2023,830,Aqua,MODIS,61,61.03,304.4,6.2,D,0
31.7842,74.9531,325.3,1,1,10/1/2023,830,Aqua,MODIS,78,61.03,304,14.6,D,0
31.7858,74.9636,318.9,1,1,10/1/2023,830,Aqua,MODIS,60,61.03,303.8,7.7,D,0
31.7882,74.9196,314.8,1,1,10/1/2023,830,Aqua,MODIS,35,61.03,303.7,5.4,D,0
31.7954,75.0267,316.3,1,1,10/1/2023,830,Aqua,MODIS,64,61.03,304.2,7,D,0
31.8043,75.0248,313.6,1,1,10/1/2023,830,Aqua,MODIS,44,61.03,303.4,4.9,D,0
31.8764,74.7082,314.2,1,1,10/1/2023,830,Aqua,MODIS,57,61.03,303.9,6,D,0
31.9888,73.9018,317.7,1.1,1,10/1/2023,830,Aqua,MODIS,63,61.03,305,8.6,D,0
31.9906,73.9129,334.7,1.1,1,10/1/2023,830,Aqua,MODIS,85,61.03,305.1,30.2,D,0
32.0239,73.7664,314,1.1,1,10/1/2023,830,Aqua,MODIS,43,61.03,303.3,6.4,D,0
32.186,73.7408,320.3,1.1,1,10/1/2023,830,Aqua,MODIS,66,61.03,306.4,11.9,D,0
32.1879,73.752,315,1.1,1,10/1/2023,830,Aqua,MODIS,40,61.03,304.1,6.9,D,0
32.1983,72.6377,333.4,1.2,1.1,10/1/2023,830,Aqua,MODIS,82,61.03,310,26.1,D,0
32.2292,73.9506,341,1.1,1,10/1/2023,830,Aqua,MODIS,90,61.03,307.9,39.8,D,0
32.2309,73.9617,322.8,1.1,1,10/1/2023,830,Aqua,MODIS,72,61.03,306.6,12.6,D,0
33.0321,69.6729,316.9,1.7,1.3,10/1/2023,830,Aqua,MODIS,47,61.03,304.7,13.2,D,0
33.0356,69.6905,317.3,1.7,1.3,10/1/2023,830,Aqua,MODIS,45,61.03,304,13.9,D,0
34.0628,71.9579,320.6,1.2,1.1,10/1/2023,831,Aqua,MODIS,71,61.03,307.6,8.1,D,0
37.5411,70.1037,327.2,1.3,1.1,10/1/2023,832,Aqua,MODIS,80,61.03,307.3,25.2,D,0
37.544,70.1201,321.3,1.3,1.1,10/1/2023,832,Aqua,MODIS,67,61.03,303.4,15,D,0
34.5249,87.6981,302.8,1.5,1.2,10/2/2023,412,Terra,MODIS,45,61.03,287.4,7,D,0
27.7856,95.8032,311.7,1.5,1.2,10/2/2023,414,Terra,MODIS,0,61.03,292.7,9.5,D,0
27.7883,95.7881,313.9,1.5,1.2,10/2/2023,414,Terra,MODIS,0,61.03,293.4,12.7,D,0
22.3672,91.3842,318,1.1,1,10/2/2023,415,Terra,MODIS,69,61.03,292.8,10.5,D,3
22.3687,91.374,323.1,1.1,1,10/2/2023,415,Terra,MODIS,76,61.03,293.6,15.6,D,3
10.2845,79.6983,311.6,2.6,1.5,10/2/2023,419,Terra,MODIS,21,61.03,292.6,22.9,D,3
33.131,69.9914,316.5,1.1,1.1,10/2/2023,551,Terra,MODIS,55,61.03,302.3,6.9,D,0
33.1329,69.9796,314.7,1.1,1.1,10/2/2023,551,Terra,MODIS,43,61.03,301.8,5.4,D,0
27.6209,69.2932,333.7,1.2,1.1,10/2/2023,552,Terra,MODIS,71,61.03,314.7,22,D,0
29.839,71.9578,326.7,1.6,1.2,10/2/2023,552,Terra,MODIS,75,61.03,303.4,31.6,D,0
29.8401,71.9646,317,1.6,1.2,10/2/2023,552,Terra,MODIS,51,61.03,303.6,12.4,D,0
29.8419,71.9419,320.3,1.6,1.2,10/2/2023,552,Terra,MODIS,63,61.03,303.4,17.1,D,0
29.8431,71.9486,332.9,1.6,1.2,10/2/2023,552,Terra,MODIS,82,61.03,303.5,46.8,D,0
29.9049,74.974,318.9,2.5,1.5,10/2/2023,552,Terra,MODIS,70,61.03,302.2,35.2,D,2
29.9102,74.9489,334.6,2.5,1.5,10/2/2023,552,Terra,MODIS,86,61.03,303.5,105.2,D,2
29.9106,74.9702,324,2.5,1.5,10/2/2023,552,Terra,MODIS,76,61.03,303,51.6,D,2
29.9158,74.9451,327.4,2.5,1.5,10/2/2023,552,Terra,MODIS,80,61.03,303.6,65.4,D,2
29.9756,70.1833,322.2,1.2,1.1,10/2/2023,552,Terra,MODIS,68,61.03,309,11.3,D,0
29.9778,70.1707,318.4,1.2,1.1,10/2/2023,552,Terra,MODIS,58,61.03,307.6,6.4,D,0
23.1452,69.3808,319.5,1.5,1.2,10/2/2023,554,Terra,MODIS,59,61.03,308.1,11.2,D,0
23.2825,70.0073,319.6,1.6,1.2,10/2/2023,554,Terra,MODIS,55,61.03,307.8,12.4,D,0
28.1666,95.7987,319,1.5,1.2,10/2/2023,732,Aqua,MODIS,29,61.03,296.6,14.2,D,0
23.1501,68.8455,323.4,1,1,10/2/2023,909,Aqua,MODIS,59,61.03,304.3,11.5,D,0
23.7001,69.3847,339.2,1.1,1,10/2/2023,910,Aqua,MODIS,87,61.03,312.3,31.5,D,0
23.7015,69.3952,325.7,1.1,1,10/2/2023,910,Aqua,MODIS,71,61.03,310.5,10.8,D,0
29.5567,69.9402,328.6,1.3,1.1,10/2/2023,911,Aqua,MODIS,51,61.03,312.9,16.3,D,0
29.9696,70.1676,325.3,1.4,1.2,10/2/2023,911,Aqua,MODIS,67,61.03,313,13.4,D,0
30.1581,70.0341,331.2,1.4,1.2,10/2/2023,911,Aqua,MODIS,77,61.03,309.1,28.3,D,0
30.1598,70.0484,325.9,1.4,1.2,10/2/2023,911,Aqua,MODIS,68,61.03,308.9,18.6,D,0
30.1654,70.0415,332.1,1.4,1.2,10/2/2023,911,Aqua,MODIS,79,61.03,308,30.4,D,0
33.1326,69.9768,326.8,1.5,1.2,10/2/2023,912,Aqua,MODIS,74,61.03,305.6,25.8,D,0
11.6509,79.0217,308.1,1.1,1,10/2/2023,1645,Terra,MODIS,43,61.03,291.8,7,N,0
14.6309,78.34,303.5,1.1,1,10/2/2023,1646,Terra,MODIS,55,61.03,286.6,5,N,0
15.1681,76.6634,308.1,1,1,10/2/2023,1646,Terra,MODIS,47,61.03,290.2,6.2,N,2
15.1756,76.6529,308.1,1,1,10/2/2023,1646,Terra,MODIS,43,61.03,289.6,6.1,N,2
15.1769,76.662,314.1,1,1,10/2/2023,1646,Terra,MODIS,89,61.03,290.5,10.5,N,2
29.9655,70.1761,325.3,1.2,1.1,10/2/2023,1650,Terra,MODIS,100,61.03,297.3,26.2,N,0
29.9674,70.1877,311.3,1.2,1.1,10/2/2023,1650,Terra,MODIS,82,61.03,297.3,10,N,0
29.975,70.1744,306.6,1.2,1.1,10/2/2023,1650,Terra,MODIS,69,61.03,296.4,6.7,N,0
29.9768,70.1857,314.1,1.2,1.1,10/2/2023,1650,Terra,MODIS,89,61.03,297,13.1,N,0
29.9617,70.1915,310.4,1.4,1.2,10/2/2023,2116,Aqua,MODIS,80,61.03,295.4,13.5,N,0
21.1094,72.6488,313.2,1,1,10/2/2023,2118,Aqua,MODIS,87,61.03,296.2,9.1,N,2
33.4362,81.1318,302.6,1,1,10/3/2023,453,Terra,MODIS,0,61.03,287.7,3.4,D,0
21.1047,72.6347,314.8,2.1,1.4,10/3/2023,457,Terra,MODIS,0,61.03,297.1,17.9,D,2
21.1063,72.6418,316.4,2.1,1.4,10/3/2023,457,Terra,MODIS,0,61.03,296.8,21.8,D,2
15.1738,76.6582,312.2,1,1,10/3/2023,458,Terra,MODIS,57,61.03,280.9,7.1,D,2
15.9753,80.5776,313.3,1.2,1.1,10/3/2023,458,Terra,MODIS,51,61.03,296.8,7.5,D,0
16.2437,76.4544,318.7,1.1,1,10/3/2023,458,Terra,MODIS,65,61.03,297.6,9.7,D,0
16.2451,76.4447,315.2,1.1,1,10/3/2023,458,Terra,MODIS,52,61.03,297.4,6.2,D,0
16.5948,80.3464,317.3,1.1,1.1,10/3/2023,458,Terra,MODIS,0,61.03,298.8,9.3,D,0
12.4086,76.978,316.3,1,1,10/3/2023,459,Terra,MODIS,62,61.03,299.1,6.7,D,0
13.2091,79.1002,315.3,1.1,1,10/3/2023,459,Terra,MODIS,49,61.03,299.4,6.1,D,2
13.2785,79.623,315.4,1.1,1.1,10/3/2023,459,Terra,MODIS,41,61.03,299.6,6.6,D,0
13.2879,79.6245,329,1.1,1.1,10/3/2023,459,Terra,MODIS,81,61.03,299.7,23.8,D,0
13.2895,79.6141,320.8,1.1,1.1,10/3/2023,459,Terra,MODIS,68,61.03,299.5,13,D,0
13.5091,79.9911,316.9,1.2,1.1,10/3/2023,459,Terra,MODIS,50,61.03,299.2,7.4,D,0
9.711,78.18,323.8,1.1,1,10/3/2023,500,Terra,MODIS,42,61.03,303.4,8.4,D,0
9.942,78.7209,324.6,1.1,1.1,10/3/2023,500,Terra,MODIS,67,61.03,301.7,10.4,D,0
10.485,77.94,316.9,1,1,10/3/2023,500,Terra,MODIS,21,61.03,300.2,4.9,D,0
10.6511,77.5018,327.4,1,1,10/3/2023,500,Terra,MODIS,42,61.03,306.5,9.7,D,0
9.4194,77.8833,322.5,2.5,1.5,10/3/2023,809,Aqua,MODIS,44,61.03,297.4,40.6,D,0
21.2056,78.9517,312.2,1.3,1.1,10/3/2023,812,Aqua,MODIS,30,61.03,291.1,6.1,D,0
27.9526,79.7891,314.6,1,1,10/3/2023,814,Aqua,MODIS,53,61.03,301.1,5.2,D,0
27.9985,77.6831,319.8,1.2,1.1,10/3/2023,814,Aqua,MODIS,56,61.03,307.7,9.5,D,0
28.7747,77.5695,316.1,1.2,1.1,10/3/2023,814,Aqua,MODIS,43,61.03,305.5,7.9,D,2
28.8726,79.7045,321.3,1,1,10/3/2023,814,Aqua,MODIS,73,61.03,299.5,11.5,D,0
29.1068,76.859,321.8,1.3,1.1,10/3/2023,814,Aqua,MODIS,67,61.03,302.7,18.7,D,0
29.2868,76.8845,314.9,1.2,1.1,10/3/2023,814,Aqua,MODIS,33,61.03,304.8,7.2,D,0
30.0366,77.1177,324.4,1.2,1.1,10/3/2023,815,Aqua,MODIS,77,61.03,305.3,17.5,D,0
30.0462,77.1155,317.6,1.2,1.1,10/3/2023,815,Aqua,MODIS,58,61.03,304.7,8.7,D,0
30.1282,76.8572,315.2,1.2,1.1,10/3/2023,815,Aqua,MODIS,63,61.03,303.8,7.7,D,0
30.3063,77.188,315,1.2,1.1,10/3/2023,815,Aqua,MODIS,66,61.03,304.9,6.7,D,0
30.3083,77.1999,316.7,1.2,1.1,10/3/2023,815,Aqua,MODIS,69,61.03,304.7,8.7,D,0
30.5372,73.7091,328.5,1.8,1.3,10/3/2023,815,Aqua,MODIS,80,61.03,304.6,44.9,D,0
30.5432,73.7028,327.1,1.8,1.3,10/3/2023,815,Aqua,MODIS,78,61.03,303.4,39.6,D,0
30.5667,75.8806,312.8,1.3,1.2,10/3/2023,815,Aqua,MODIS,56,61.03,302.7,8.4,D,0
30.8031,73.8901,320.5,1.8,1.3,10/3/2023,815,Aqua,MODIS,70,61.03,303.2,25.1,D,0
30.8831,74.1814,319.8,1.7,1.3,10/3/2023,815,Aqua,MODIS,69,61.03,302.8,21.4,D,0
30.8864,74.1984,314.7,1.7,1.3,10/3/2023,815,Aqua,MODIS,55,61.03,302.7,11.4,D,0
31.3705,75.1169,318.5,1.4,1.2,10/3/2023,815,Aqua,MODIS,69,61.03,301.9,16,D,0
31.4109,75.0705,317,1.4,1.2,10/3/2023,815,Aqua,MODIS,66,61.03,302.9,12.6,D,0
31.4526,75.0599,312.7,1.4,1.2,10/3/2023,815,Aqua,MODIS,52,61.03,301.2,8.3,D,0
31.4864,75.0911,317.4,1.4,1.2,10/3/2023,815,Aqua,MODIS,67,61.03,302.6,12.4,D,0
31.5,75.1644,321.2,1.4,1.2,10/3/2023,815,Aqua,MODIS,73,61.03,302.3,19.7,D,0
